time,pm2_5,temperature_2m,relative_humidity_2m,wind_u,wind_v,boundary_layer_height,precipitation,nitrogen_dioxide,hour_sin,hour_cos
2025-11-03T05:00,83.8,18.2,72,8.268415994161488,0.7233926648055635,105.0,0.0,20.1,0.9659258262890683,0.25881904510252074
2025-11-03T06:00,86.6,17.9,73,7.901506724761101,1.2514757203218483,100.0,0.0,26.2,1.0,6.123233995736766e-17
2025-11-03T07:00,90.3,18.3,70,8.087271537717452,1.8670937510540817,105.0,0.0,34.3,0.9659258262890683,-0.25881904510252063
2025-11-03T08:00,88.0,19.9,69,7.9229955659438245,1.6840846956238542,130.0,0.0,37.9,0.8660254037844387,-0.4999999999999998
2025-11-03T09:00,82.7,22.3,60,5.896405879412665,0.2059070305447545,190.0,0.0,32.8,0.7071067811865476,-0.7071067811865475
2025-11-03T10:00,76.1,24.8,52,5.991777208527443,0.31401573745766587,290.0,0.0,23.2,0.49999999999999994,-0.8660254037844387
2025-11-03T11:00,68.7,27.2,46,6.9904067432820165,-0.3663516937006076,465.0,0.0,15.3,0.258819045102521,-0.9659258262890682
2025-11-03T12:00,59.8,28.8,40,8.61533219805166,-1.2108059783525695,1035.0,0.0,10.2,1.2246467991473532e-16,-1.0
2025-11-03T13:00,54.1,29.9,35,10.60157358123477,-2.060737150066687,1550.0,0.0,6.7,-0.2588190451025208,-0.9659258262890683
2025-11-03T14:00,50.1,30.5,28,12.97911843367941,-5.509308911698756,1640.0,0.0,7.5,-0.4999999999999997,-0.8660254037844388
2025-11-03T15:00,47.6,30.0,28,12.053893567587444,-5.620822881151305,1565.0,0.0,14.7,-0.7071067811865471,-0.7071067811865479
2025-11-03T16:00,49.7,28.7,32,9.481199990560137,-4.024530623439517,1275.0,0.0,26.1,-0.8660254037844385,-0.5000000000000004
2025-11-03T17:00,65.0,26.3,42,5.975575286112627,-3.450000000000001,325.0,0.0,40.1,-0.9659258262890683,-0.25881904510252063
2025-11-03T18:00,70.5,25.2,46,4.705788684431238,-5.046340541172278,240.0,0.0,48.5,-1.0,-1.8369701987210297e-16
2025-11-03T19:00,76.4,24.3,51,3.9595527116162863,-4.10023686193031,145.0,0.0,60.1,-0.9659258262890684,0.2588190451025203
2025-11-03T20:00,85.4,24.1,50,2.5371700761219524,-0.9234543869793064,60.0,0.0,69.0,-0.8660254037844386,0.5000000000000001
2025-11-03T21:00,97.3,23.5,51,1.4256104387013886,0.7263847995832751,20.0,0.0,72.6,-0.7071067811865477,0.7071067811865474
2025-11-03T22:00,108.5,22.7,53,1.7820130483767356,0.9079809994790938,20.0,0.0,73.5,-0.5000000000000004,0.8660254037844384
2025-11-03T23:00,117.1,23.0,54,0.9008627491964482,1.4416817634659242,15.0,0.0,73.5,-0.25881904510252157,0.9659258262890681
2025-11-04T00:00,121.1,21.7,57,0.18159619989581866,0.3564026096753472,10.0,0.0,72.9,0.0,1.0
2025-11-04T01:00,120.6,21.0,59,-4.898587196589413e-17,0.4,10.0,0.0,71.4,0.25881904510252074,0.9659258262890683
2025-11-04T02:00,115.9,20.1,63,-0.8959198738632506,2.3339510662430043,15.0,0.0,70.3,0.49999999999999994,0.8660254037844387
